,word,meaning,example
459,boorish,resembling or befitting a rude or insensitive person : resembling or befitting a boor,boorish remarks
460,bravado,blustering swaggering conduct,youthful bravado
461,bravado,a pretense of bravery,
462,bravado,the quality or state of being foolhardy,
463,brazen,made of brass,drinking from brazen cups
464,brazen,sounding harsh and loud like struck brass,
465,brazen,of the color of polished brass,
466,brazen,marked by shameless or disrespectful boldness,a brazen disregard for the rules
467,brazen,to face with defiance or impudence,
468,bridle,the headgear with which a horse is governed and which carries a bit (see bit entry 1 sense 2a) and reins,
469,bridle,a length of line or cable attached to two parts of something (such as a ship) to spread the force of a pull,
470,bridle,"curb, restraint",set a bridle on his power
471,bridle,to put a harness with which a horse is governed on the head of : to put a bridle (see bridle entry 1 sense 1) on,bridle a horse
472,bridle,"to restrain, check, or control with or as if with a bridle",bridle your tongue
473,bridle,to show hostility or resentment (as to an affront to one's pride or dignity) especially by drawing back the head and chin,
474,brook,creek sense 1,a babbling brook
475,brook,to stand for : tolerate,he would brook no interference with his plans
476,bucolic,of or relating to shepherds or herdsmen : pastoral,
477,bucolic,relating to or typical of rural life,
478,bucolic,idyllic,
479,buoyant,having buoyancy,Warm air is more buoyant than cool air.
480,buoyant,capable of floating,Cork is naturally buoyant.
481,buoyant,"cheerful, gay",in a buoyant mood
482,buoyant,capable of maintaining a satisfactorily high level,a buoyant economy
483,burgeon,to send forth new growth (such as buds or branches) : sprout,
484,burgeon,bloom,when the flame trees and jacaranda are burgeoning
485,burgeon,to grow and expand rapidly : flourish,The market for her work has burgeoned in recent years.
486,burnish,to make shiny or lustrous especially by rubbing,burnish leather
487,burnish,polish sense 3,attempting to burnish her image
488,burnish,to rub (a material) with a tool for compacting or smoothing or for turning an edge,pottery with a smooth burnished surface
489,burnish,"luster, gloss",
490,buttress,a projecting structure of masonry or wood for supporting or giving stability to a wall or building,
491,buttress,something that resembles a buttress: such as,
492,buttress,a projecting part of a mountain or hill,
493,buttress,a horny protuberance on a horse's hoof at the heel   see hoof illustration,
494,buttress,the broadened base of a tree trunk or a thickened vertical part of it,
495,buttress,something that supports or strengthens,a buttress of the cause of peace
496,buttress,to give support or stability to (a wall or building) with a projecting structure of masonry or wood : to furnish or shore up with a buttress (see buttress entry 1 sense 1),
497,byzantine,"of, relating to, or characteristic of the ancient city of Byzantium",Byzantine art
498,byzantine,"of, relating to, or having the characteristics of a style of architecture developed in the Byzantine Empire especially in the fifth and sixth centuries featuring the dome carried on pendentives over a square and incrustation with marble veneering and with colored mosaics on grounds of gold",
499,byzantine,of or relating to the churches using a traditional Greek rite and subject to Eastern (see eastern sense 2) canon law,
500,byzantine,"of, relating to, or characterized by a devious and usually surreptitious manner of operation",a Byzantine power struggle
501,byzantine,intricately involved : labyrinthine,rules of Byzantine complexity
502,byzantine,a native or inhabitant of Byzantium,
503,cacophonous,marked by cacophony : harsh-sounding,
504,cajole,to persuade with flattery or gentle urging especially in the face of reluctance : coax,had to cajole them into going
505,cajole,to obtain from someone by gentle persuasion,cajoled money from his parents
506,cajole,to deceive with soothing words or false promises,cajoled himself with thoughts of escape
507,callous,being hardened and thickened,
508,callous,having calluses,callous hands
509,callous,feeling no emotion,
510,callous,feeling or showing no sympathy for others : hard-hearted,a callous indifference to suffering
511,callous,to make callous,hands calloused by hard manual labor
512,callow,lacking adult sophistication : immature,callow youth
513,calumny,a misrepresentation intended to harm another's reputation,denounced his opponent for his defamatory insinuations and calumny
514,calumny,the act of uttering false charges or misrepresentations maliciously calculated to harm another's reputation,He was the target of calumny for his unpopular beliefs.
515,candid,marked by honest sincere expression,a candid discussion
516,candid,disposed to criticize severely : blunt,candid critics
517,candid,indicating or suggesting sincere honesty and absence of deception,her candid face
